#p7	p5
1009	1009
1010	1010
1011	1011
1012	1012
1013	1013
1014	1014
1015	1015
1016	1016
1041	1041
1042	1042
1043	1043
1044	1044
1045	1045
1046	1046
1047	1047
1048	1048
1073	1073
1074	1074
1075	1075
1076	1076
1077	1077
1078	1078
1079	1079
1080	1080
1281	1281
1282	1282
1283	1283
1284	1284
1285	1285
1286	1286
1287	1287
1288	1288
1377	1377
1378	1378
1379	1379
1380	1380
1381	1381
1382	1382
1383	1383
1384	1384
1209	1209
1210	1210
1211	1211
1212	1212
1213	1213
1214	1214
1215	1215
1216	1216
1161	1161
1162	1162
1163	1163
1164	1164
1165	1165
1166	1166
1167	1167
1168	1168
1057	1057
1058	1058
1059	1059
1060	1060
1061	1061
1062	1062
1063	1063
1064	1064
1345	1345
1346	1346
1347	1347
1348	1348
1349	1349
1350	1350
1351	1351
1352	1352
1081	1081
1082	1082
1083	1083
1084	1084
1085	1085
1086	1086
1087	1087
1088	1088
1065	1065
1066	1066
1067	1067
1068	1068
1069	1069
1070	1070
1071	1071
1072	1072
1201	1201
1202	1202
1203	1203
1204	1204
1205	1205
1206	1206
1207	1207
1208	1208
##bravo_command	1,3	1,3	p5_straight
##bravo_command	1,11	1,11	p5_straight
##bravo_command	1,19	1,19	p5_straight
##bravo_command	2,23	2,23	p5_straight
##bravo_command	2,24	2,24	p5_straight
##bravo_command	2,5	2,5	p5_straight
##bravo_command	1,18	1,18	p5_straight
##bravo_command	1,15	1,15	p5_straight
##bravo_command	2,16	2,16	p5_straight
##bravo_command	1,21	1,21	p5_straight
##bravo_command	1,17	1,17	p5_straight
##bravo_command	2,3	2,3	p5_straight
