#p7	p5
1201	1177
1202	1178
1203	1179
1204	1180
1205	1181
1206	1182
1207	1183
1208	1184
1041	1017
1042	1018
1043	1019
1044	1020
1045	1021
1046	1022
1047	1023
1048	1024
1241	1217
1242	1218
1243	1219
1244	1220
1245	1221
1246	1222
1247	1223
1248	1224
1217	1193
1218	1194
1219	1195
1220	1196
1221	1197
1222	1198
1223	1199
1224	1200
1369	1345
1370	1346
1371	1347
1372	1348
1373	1349
1374	1350
1375	1351
1376	1352
1193	1169
1194	1170
1195	1171
1196	1172
1197	1173
1198	1174
1199	1175
1200	1176
1161	1137
1162	1138
1163	1139
1164	1140
1165	1141
1166	1142
1167	1143
1168	1144
1289	1265
1290	1266
1291	1267
1292	1268
1293	1269
1294	1270
1295	1271
1296	1272
1273	1249
1274	1250
1275	1251
1276	1252
1277	1253
1278	1254
1279	1255
1280	1256
1113	1089
1114	1090
1115	1091
1116	1092
1117	1093
1118	1094
1119	1095
1120	1096
1153	1129
1154	1130
1155	1131
1156	1132
1157	1133
1158	1134
1159	1135
1160	1136
1017	1377
1018	1378
1019	1379
1020	1380
1021	1381
1022	1382
1023	1383
1024	1384
##bravo_command	2,3	1,22	p5_straight
##bravo_command	1,11	1,5	p5_straight
##bravo_command	2,13	2,7	p5_straight
##bravo_command	2,7	2,1	p5_straight
##bravo_command	2,22	2,16	p5_straight
##bravo_command	2,1	1,20	p5_straight
##bravo_command	1,18	1,12	p5_straight
##bravo_command	2,2	2,19	p5_straight
##bravo_command	2,21	2,15	p5_straight
##bravo_command	1,6	1,23	p5_straight
##bravo_command	1,16	1,10	p5_straight
##bravo_command	1,5	2,24	p5_straight
