#p7	p5
1033	1209
1034	1210
1035	1211
1036	1212
1037	1213
1038	1214
1039	1215
1040	1216
1017	1193
1018	1194
1019	1195
1020	1196
1021	1197
1022	1198
1023	1199
1024	1200
1161	1337
1162	1338
1163	1339
1164	1340
1165	1341
1166	1342
1167	1343
1168	1344
1073	1249
1074	1250
1075	1251
1076	1252
1077	1253
1078	1254
1079	1255
1080	1256
1177	1353
1178	1354
1179	1355
1180	1356
1181	1357
1182	1358
1183	1359
1184	1360
1305	1097
1306	1098
1307	1099
1308	1100
1309	1101
1310	1102
1311	1103
1312	1104
1121	1297
1122	1298
1123	1299
1124	1300
1125	1301
1126	1302
1127	1303
1128	1304
1289	1081
1290	1082
1291	1083
1292	1084
1293	1085
1294	1086
1295	1087
1296	1088
1089	1265
1090	1266
1091	1267
1092	1268
1093	1269
1094	1270
1095	1271
1096	1272
1377	1169
1378	1170
1379	1171
1380	1172
1381	1173
1382	1174
1383	1175
1384	1176
1057	1233
1058	1234
1059	1235
1060	1236
1061	1237
1062	1238
1063	1239
1064	1240
1281	1073
1282	1074
1283	1075
1284	1076
1285	1077
1286	1078
1287	1079
1288	1080
##bravo_command	1,9	2,5	p5_straight
##bravo_command	1,5	2,1	p5_straight
##bravo_command	1,18	2,14	p5_straight
##bravo_command	1,19	2,15	p5_straight
##bravo_command	1,22	2,18	p5_straight
##bravo_command	2,6	1,2	p5_straight
##bravo_command	1,8	2,4	p5_straight
##bravo_command	2,2	1,21	p5_straight
##bravo_command	1,23	2,19	p5_straight
##bravo_command	2,24	1,20	p5_straight
##bravo_command	1,15	2,11	p5_straight
##bravo_command	2,23	1,19	p5_straight
